330734,383,04-07-2012 10:48,MT
223125,57,05-07-2012 17:06,RT
42318,1454,06-07-2012 11:29,MT
135010,12465,04-07-2012 13:22,RT
38011,38034,04-07-2012 03:22,MT
69958,323,02-07-2012 16:11,RT
50730,677,04-07-2012 00:56,RT
257607,511,02-07-2012 12:30,RT
29600,29600,06-07-2012 20:12,MT
78359,677,04-07-2012 01:36,RT
52165,88,04-07-2012 02:59,MT
4543,4022,04-07-2012 02:55,MT
305032,8956,05-07-2012 15:54,RT
51640,677,04-07-2012 03:24,RT
156920,261475,04-07-2012 03:16,MT
82065,99369,04-07-2012 19:24,RT
105336,231948,04-07-2012 04:03,RT
192348,33476,03-07-2012 09:28,MT
146172,146171,04-07-2012 01:28,MT
422563,4134,05-07-2012 16:31,RE
40686,21749,03-07-2012 05:35,RT
365598,59195,04-07-2012 03:55,MT
194667,677,04-07-2012 02:12,RT
227235,20802,07-07-2012 11:27,MT
125178,128829,04-07-2012 20:35,RE
408352,3592,04-07-2012 01:18,RT
271903,14376,06-07-2012 19:16,MT
330802,68278,04-07-2012 15:41,RE
299941,88,04-07-2012 01:02,MT
159740,167882,04-07-2012 12:14,RT
4380,50901,04-07-2012 01:54,MT
409123,31957,04-07-2012 06:54,MT
455988,16783,05-07-2012 03:42,MT
319364,2934,04-07-2012 07:48,RT
119701,30231,07-07-2012 15:08,RE
242001,88,04-07-2012 07:28,MT
122472,122469,04-07-2012 04:18,RT
66132,79126,02-07-2012 23:28,RE
406395,406395,06-07-2012 08:54,MT
15740,2567,03-07-2012 01:44,RT
128422,57987,03-07-2012 05:38,RE
145713,68285,04-07-2012 05:01,MT
53508,56968,04-07-2012 01:48,RT
7578,30978,06-07-2012 09:55,MT
136264,677,04-07-2012 02:18,RT
288058,88408,04-07-2012 13:55,RT
89804,14454,04-07-2012 13:04,RT
107494,10111,06-07-2012 08:26,MT
426890,677,03-07-2012 01:18,RT
191790,191790,04-07-2012 00:22,MT
66008,22185,07-07-2012 02:12,RT
330880,12281,05-07-2012 02:42,MT
268649,288682,04-07-2012 08:34,RE
261974,179509,04-07-2012 10:58,RT
187200,20367,04-07-2012 00:39,MT
314995,181567,05-07-2012 01:15,RT
152042,220,04-07-2012 15:33,MT
195446,43515,01-07-2012 09:23,RT
78950,162446,04-07-2012 03:33,MT
363392,88,03-07-2012 12:26,RT
439233,34798,04-07-2012 06:58,MT
250733,17881,04-07-2012 01:53,RT
290222,22051,04-07-2012 13:44,RT
231074,960,04-07-2012 12:28,RT
383506,7533,04-07-2012 01:12,RT
295636,3549,04-07-2012 10:29,RT
342323,20322,04-07-2012 06:43,RT
321655,96622,04-07-2012 21:10,RT
275341,38448,04-07-2012 05:29,RT
323667,120513,03-07-2012 11:54,RT
390950,88,06-07-2012 23:48,MT
133240,50733,04-07-2012 10:12,RT
109268,53765,04-07-2012 10:42,RE
53672,2177,03-07-2012 23:55,MT
107092,50242,04-07-2012 02:09,RT
253645,253644,04-07-2012 19:43,MT
57548,88,03-07-2012 12:28,RT
47365,8303,04-07-2012 08:03,RT
331875,79648,04-07-2012 05:12,RT
131538,20522,04-07-2012 07:52,RT
40684,16801,03-07-2012 03:29,RT
189341,6948,04-07-2012 13:25,MT
42172,677,04-07-2012 00:28,RE
228166,220,04-07-2012 11:26,MT
133098,62091,06-07-2012 02:49,MT
42394,12875,04-07-2012 02:52,RE
200425,12589,04-07-2012 13:11,RT
361591,69487,04-07-2012 23:13,RT
120721,120719,06-07-2012 01:38,RT
253486,186470,05-07-2012 11:38,RT
92359,14075,04-07-2012 06:19,MT
147851,3861,04-07-2012 15:00,RE
148454,2342,04-07-2012 04:25,RT
167823,14508,04-07-2012 01:07,RT
48542,1276,04-07-2012 04:43,RT
71857,118729,04-07-2012 00:22,MT
12273,100898,04-07-2012 01:36,MT
256857,46273,04-07-2012 09:02,RT
367238,349,04-07-2012 14:26,RT
243446,35375,04-07-2012 02:24,MT
40185,1988,04-07-2012 00:30,MT
455659,356,04-07-2012 07:30,RT
189358,30230,04-07-2012 14:12,RT
159807,188275,04-07-2012 00:47,MT
174278,2287,04-07-2012 02:15,RT
195107,7590,04-07-2012 09:25,RT
92833,63726,04-07-2012 06:49,RT
589,32226,04-07-2012 08:38,RT
137233,3998,04-07-2012 01:06,RT
194468,49180,07-07-2012 05:55,RT
203863,88,04-07-2012 09:38,RT
160055,6693,03-07-2012 21:53,RT
85795,88,03-07-2012 22:41,MT
127479,463,02-07-2012 18:41,RT
73637,20244,04-07-2012 03:29,RT
281570,27029,03-07-2012 23:02,MT
294711,13813,04-07-2012 00:59,MT
132260,81,06-07-2012 12:57,MT
262695,262697,05-07-2012 13:46,MT
426597,254556,05-07-2012 10:39,MT
41351,88,04-07-2012 04:07,RT
150460,59,05-07-2012 07:25,MT
415698,12473,07-07-2012 08:27,RT
99326,14070,04-07-2012 04:20,RT
217884,167717,03-07-2012 12:50,RT
78660,42182,04-07-2012 00:40,RT
60035,37532,02-07-2012 11:44,MT
68541,20266,04-07-2012 12:07,RE
417183,4444,05-07-2012 13:51,RT
369761,5664,02-07-2012 17:45,MT
50187,3571,04-07-2012 08:28,RT
365303,317,06-07-2012 14:59,RE
182906,182906,04-07-2012 13:57,MT
319122,319121,04-07-2012 18:57,MT
35393,531,04-07-2012 03:27,RT
351064,20849,04-07-2012 04:01,RT
22288,84644,02-07-2012 00:06,RT
19262,5792,02-07-2012 08:51,RT
361014,22341,04-07-2012 03:30,RT
49080,519,02-07-2012 12:39,MT
53508,677,04-07-2012 00:50,RT
378786,59195,04-07-2012 01:28,MT
367064,154093,04-07-2012 02:20,RT
277792,12224,04-07-2012 07:05,RT
266409,266408,04-07-2012 01:14,RT
361257,18662,04-07-2012 11:27,RT
397009,5226,04-07-2012 06:50,RT
91122,91117,07-07-2012 01:06,MT
403244,29225,05-07-2012 07:31,RT
177809,303295,04-07-2012 05:46,RT
301602,270099,04-07-2012 07:05,RT
